Province,HASC,ISO,FIPS,Reg,Population,Area(km._),Area(mi._),oldFileProvinceName
Amnat Charoen,TH.AC,37,TH77,NE,283732,"3,161","1,221",
Ang Thong,TH.AT,15,TH35,C,254292,968,374,AngThong
Bangkok Metropolis,TH.BM,10,TH40,C,8305218,"1,569",606,KrungThep
Bueng Kan,TH.BK,38,TH81,NE,362754,"4,305","1,662",
Buri Ram,TH.BR,31,TH28,NE,1274921,"10,323","3,986",Buriram
Chachoengsao,TH.CC,24,TH44,C,715603,"5,351","2,066",Chachoengsao
Chai Nat,TH.CN,18,TH32,C,305587,"2,470",954,ChaiNat
Chaiyaphum,TH.CY,36,TH26,NE,963907,"12,778","4,934",Chaiyaphum
Chanthaburi,TH.CT,22,TH48,E,485611,"6,338","2,447",Chanthaburi
Chiang Mai,TH.CM,50,TH02,N,1737041,"20,107","7,763",ChiangMai
Chiang Rai,TH.CR,57,TH03,N,1172928,"11,678","4,509",ChiangRai
Chon Buri,TH.CB,20,TH46,E,1555358,"4,363","1,685",ChonBuri
Chumphon,TH.CP,86,TH58,S,467801,"6,009","2,320",Chumphon
Kalasin,TH.KL,46,TH23,NE,824538,"6,947","2,682",Kalasin
Kamphaeng Phet,TH.KP,62,TH11,N,797391,"8,608","3,323",KamphaengPhet
Kanchanaburi,TH.KN,71,TH50,C,801519,"19,483","7,523",Kanchanaburi
Khon Kaen,TH.KK,40,TH22,NE,1741980,"10,886","4,203",KhonKaen
Krabi,TH.KR,81,TH63,S,362203,"4,709","1,818",Krabi
Lampang,TH.LG,52,TH06,N,743143,"12,534","4,839",Lampang
Lamphun,TH.LN,51,TH05,N,412741,"4,506","1,740",Lamphun
Loei,TH.LE,42,TH18,NE,546028,"11,425","4,411",Loei
Lop Buri,TH.LB,16,TH34,C,769925,"6,200","2,394",LopBuri
Mae Hong Son,TH.MH,58,TH01,N,209153,"12,681","4,896",MaeHongSon
Maha Sarakham,TH.MS,44,TH24,NE,827639,"5,292","2,043",MahaSarakham
Mukdahan,TH.MD,49,TH78,NE,357339,"4,340","1,676",
Nakhon Nayok,TH.NN,26,TH43,C,246868,"2,122",819,NakhonNayok
Nakhon Pathom,TH.NP,73,TH53,C,943892,"2,168",837,NakhonPathom
Nakhon Phanom,TH.NF,48,TH73,NE,583726,"5,513","2,128",NakhonPhanom
Nakhon Ratchasima,TH.NR,30,TH27,NE,2525975,"20,494","7,913",NakhonRatchasima
Nakhon Sawan,TH.NS,60,TH16,N,992749,"9,598","3,706",NakhonSawan
Nakhon Si Thammarat,TH.NT,80,TH64,S,1450466,"9,943","3,839",NakhonSiThammarat
Nan,TH.NA,55,TH04,N,452814,"11,472","4,429",Nan
Narathiwat,TH.NW,96,TH31,S,670002,"4,475","1,728",Narathiwat
Nong Bua Lam Phu,TH.NB,39,TH79,NE,485974,"3,859","1,490",
Nong Khai,TH.NH,43,TH17,NE,458772,"3,027","1,169",NongKhai
Nonthaburi,TH.NO,12,TH38,C,1334083,622,240,Nonthaburi
Pathum Thani,TH.PT,13,TH39,C,1327147,"1,526",589,PathumThani
Pattani,TH.PI,94,TH69,S,609015,"1,940",749,Pattani
Phangnga,TH.PG,82,TH61,S,258535,"4,171","1,610",Phangnga
Phatthalung,TH.PL,93,TH66,S,480976,"3,425","1,322",Phatthalung
Phayao,TH.PY,56,TH41,N,417380,"6,335","2,446",Phayao
Phetchabun,TH.PH,67,TH14,N,940076,"12,668","4,891",Phetchabun
Phetchaburi,TH.PE,76,TH56,C,472589,"6,225","2,404",Phetchaburi
Phichit,TH.PC,66,TH13,N,548242,"4,531","1,749",Phichit
Phitsanulok,TH.PS,65,TH12,N,912827,"10,816","4,176",Phitsanulok
Phrae,TH.PR,54,TH07,N,427398,"6,539","2,525",Phrae
Phra Nakhon Si Ayutthaya,TH.PA,14,TH36,C,870671,"2,557",987,PhraNakhonSiAyutthaya
Phuket,TH.PU,83,TH62,S,525709,543,210,Phuket
Prachin Buri,TH.PB,25,TH74,C,546996,"4,762","1,839",PrachinBuri
Prachuap Khiri Khan,TH.PK,77,TH57,C,467466,"6,368","2,459",PrachuapKhiriKhan
Ranong,TH.RN,85,TH59,S,249017,"3,298","1,273",Ranong
Ratchaburi,TH.RT,70,TH52,C,796748,"5,197","2,006",Ratchaburi
Rayong,TH.RY,21,TH47,E,821072,"3,552","1,371",Rayong
Roi Et,TH.RE,45,TH25,NE,1084985,"8,299","3,204",RoiEt
Sa Kaeo,TH.SK,27,TH80,C,555961,"7,195","2,778",
Sakon Nakhon,TH.SN,47,TH20,NE,941810,"9,606","3,709",SakonNakhon
Samut Prakan,TH.SP,11,TH42,C,1828694,"1,004",388,SamutPrakan
Samut Sakhon,TH.SS,74,TH55,C,887191,872,337,SamutSakhon
Samut Songkhram,TH.SM,75,TH54,C,185564,417,161,SamutSongkhram
Saraburi,TH.SR,19,TH37,C,717054,"3,577","1,381",Saraburi
Satun,TH.SA,91,TH67,S,274863,"2,479",957,Satun
Sing Buri,TH.SB,17,TH33,C,199982,823,318,SingBuri
Si Sa Ket,TH.SI,33,TH30,NE,1055980,"8,840","3,413",Sisaket
Songkhla,TH.SG,90,TH68,S,1481021,"7,394","2,855",Songkhla
Sukhothai,TH.SO,64,TH09,N,629707,"6,596","2,547",Sukhothai
Suphan Buri,TH.SH,72,TH51,C,845561,"5,358","2,069",SuphanBuri
Surat Thani,TH.ST,84,TH60,S,1009351,"12,892","4,977",SuratThani
Surin,TH.SU,32,TH29,NE,1122900,"8,124","3,137",Surin
Tak,TH.TK,63,TH08,N,526382,"16,407","6,335",Tak
Trang,TH.TG,92,TH65,S,598877,"4,918","1,899",Trang
Trat,TH.TT,23,TH49,E,247876,"2,819","1,088",Trat
Ubon Ratchathani,TH.UR,34,TH75,NE,1746790,"15,745","6,079",UbonRatchathani
Udon Thani,TH.UN,41,TH76,NE,1288365,"11,730","4,529",UdonThani
Uthai Thani,TH.UT,61,TH15,N,297493,"6,730","2,599",UthaiThani
Uttaradit,TH.UD,53,TH10,N,438578,"7,839","3,027",Uttaradit
Yala,TH.YL,95,TH70,S,433167,"4,521","1,746",Yala
Yasothon,TH.YS,35,TH72,NE,487976,"4,162","1,607",Yasothon
